# New HSK word list (January 2012) V1.0
# Level 1 to 6 -- 5000 words
# Source : http://cedric.hartland.free.fr
# hsk source list from http://www.davidpetersson.com
# Translations from CEDICT Dictionary (see http://www.mdbg.net)
# Distributed under Creative Commons BY-NC licence
#Level	Identifier	Hanzi	PinYin	Translations
4	729	干燥	gān zào	to dry (of weather, paint, cement etc), desiccation, dull, uninteresting, arid,
4	730	感动	gǎn dòng	to move (sb), to touch (sb emotionally), moving,
4	731	感觉	gǎn jué	to feel, to become aware of, feeling, sense, perception, CL:個|个[gè],
4	732	感情	gǎn qíng	feeling, emotion, sensation, likes and dislikes, deep affection for sb or sth, relationship (i.e. love affair), CL:個|个,種|种[zhǒng],
4	733	感谢	gǎn xiè	(express) thanks, gratitude, grateful, thankful, thanks,
4	734	干	gàn	tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar),
4	735	刚刚	gāng gang	just recently, just a moment ago,
4	736	高级	gāo jí	high level, high grade, advanced, high-ranking,
4	737	个子	gè zi	height, stature, build, size,
4	738	各	gè	each, every,
4	739	公里	gōng lǐ	kilometer,
4	740	工具	gōng jù	tool, instrument, utensil, means (to achieve a goal etc),
4	741	工资	gōng zī	wages, pay, CL:個|个,份,月[yuè],
4	742	共同	gòng tóng	common, joint, jointly, together, collaborative,
4	743	够	gòu	to reach, to be enough,
4	744	购物	gòu wù	shopping,
4	745	孤单	gū dān	lone, lonely, loneliness,
4	746	估计	gū jì	to estimate, to reckon, CL:個|个[gè],
4	747	鼓励	gǔ lì	to encourage,
4	748	鼓掌	gǔ zhǎng	to applaud, to clap,
4	749	顾客	gù kè	client, customer, CL:位[wèi],
4	750	故意	gù yì	deliberately, on purpose,
4	751	挂	guà	to hang or suspend (from a hook etc), to hang up (the phone), to be worried or concerned, to make a phone call (topolect), to register or record, to hitch, classifier for sets or clusters of objects,
4	752	关键	guān jiàn	crucial point, crux, CL:個|个[gè], key, crucial, pivotal,
4	753	观众	guān zhòng	spectators, audience, visitors (to an exhibition etc),
4	754	管理	guǎn lǐ	to supervise, to manage, to administer, management, administration, CL:個|个[gè],
4	755	光	guāng	light, ray, CL:道[dào], bright, only, merely, to use up,
4	756	广播	guǎng bō	broadcast, CL:個|个[gè], broadcasting, to broadcast, (formal) to propagate, to publicize,
4	757	广告	guǎng gào	to advertise, a commercial, advertisement, CL:項|项[xiàng],
4	758	逛	guàng	to stroll, to visit,
4	759	规定	guī dìng	provision, to fix, to set, to formulate, to stipulate, to provide, regulation, rule, CL:個|个[gè],
4	760	国际	guó jì	international,
4	761	果然	guǒ rán	really, sure enough, as expected, if indeed,
4	762	过	guò	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,
4	763	过	guò	(experienced action marker), to cross, to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-,
4	764	过程	guò chéng	course of events, process, CL:個|个[gè],
4	765	海洋	hǎi yáng	ocean, CL:個|个[gè],
4	766	害羞	hài xiū	shy, embarrassed, bashful,
4	767	寒假	hán jià	winter vacation,
4	768	汗	hàn	perspiration, sweat, CL:滴,頭|头,身[shēn], to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection),
4	769	航班	háng bān	scheduled flight, flight number, plane, scheduled sailing, sailing number, passenger ship,
4	770	好处	hǎo chu	benefit, advantage, gain, profit, also pronounced [hǎo chù], CL:個|个[gè],
4	771	好像	hǎo xiàng	as if, to seem like,
4	772	号码	hào mǎ	number, CL:堆,個|个[gè],
4	773	合格	hé gé	qualified, meeting a standard, eligible (voter),
4	774	合适	hé shì	suitable, fitting, decent, to fit,
4	775	盒子	hé zi	case,
4	776	猴子	hóu zi	monkey, CL:隻|只[zhī],
4	777	厚	hòu	thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress,
4	778	后悔	hòu huǐ	to regret, to repent,
4	779	后来	hòu lái	afterwards, later,
4	780	忽然	hū rán	suddenly, all of a sudden,
4	781	互相	hù xiāng	each other, mutually, mutual,
4	782	护士	hù shi	nurse, CL:個|个[gè],
4	783	怀疑	huái yí	to doubt, to suspect, doubt, suspicion, skeptical,
4	784	回忆	huí yì	to recall, recollection, CL:個|个[gè],
4	785	活动	huó dòng	to exercise, to move about, to operate, activity, loose, shaky, active, movable, maneuver, to use connections, CL:項|项,個|个[gè],
4	786	活泼	huó po	lively, vivacious, brisk, active,
4	787	火	huǒ	fire, urgent, ammunition, fiery or flaming, internal heat (Chinese medicine), hot (popular), classifier for military units (old),
4	788	获得	huò dé	to obtain, to receive, to get,
4	789	基础	jī chǔ	base, foundation, basis, underlying, CL:個|个[gè],
4	790	激动	jī dòng	to excite, to agitate, exciting,
4	791	积极	jī jí	active, energetic, vigorous, positive (outlook), proactive,
4	792	积累	jī lěi	to accumulate, accumulation, cumulative, cumulatively,
4	793	极其	jí qí	extremely,
4	794	即使	jí shǐ	even if, even though, given that,
4	795	及时	jí shí	in time, promptly, without delay, timely,
4	796	集合	jí hé	to gather, to assemble, set (mathematics),
4	797	寄	jì	to live (in a house), to lodge, to mail, to send, to entrust, to depend,
4	798	继续	jì xù	to continue, to proceed with, to go on with,
4	799	记者	jì zhě	reporter, journalist, CL:個|个[gè],
4	800	计划	jì huà	plan, project, program, to plan, to map out, CL:個|个,項|项[xiàng],
4	801	技术	jì shù	technology, technique, skill, CL:門|门,種|种,項|项[xiàng],
4	802	既然	jì rán	since, as, this being the case,
4	803	家具	jiā jù	furniture, CL:件,套[tào],
4	804	加班	jiā bān	to work overtime,
4	805	加油站	jiā yóu zhàn	gas station,
4	806	假	jiǎ	fake, false, artificial, to borrow, if, suppose,
4	807	价格	jià gé	price, CL:個|个[gè],
4	808	坚持	jiān chí	to persevere with, to persist in, to insist on,
4	809	减肥	jiǎn féi	to lose weight,
4	810	减少	jiǎn shǎo	to lessen, to decrease, to reduce, to lower,
4	811	将来	jiāng lái	in the future, future, the future, CL:個|个[gè],
4	812	奖金	jiǎng jīn	premium, award money, a bonus,
4	813	降低	jiàng dī	to reduce, to lower, to bring down,
4	814	交	jiāo	to hand over, to deliver, to pay (money), to turn over, to make friends, to intersect (lines),
4	815	交流	jiāo liú	to exchange, exchange, communication, interaction, to have social contact (with sb),
4	816	交通	jiāo tōng	to be connected, traffic, transportation, communications, liaison,
4	817	骄傲	jiāo ào	pride, arrogance, conceited, proud of sth,
4	818	饺子	jiǎo zi	dumpling, pot-sticker, CL:個|个,隻|只[zhī],
4	819	教授	jiào shòu	professor, to instruct, to lecture on, CL:個|个,位[wèi],
4	820	教育	jiào yù	to educate, to teach, education,
4	821	接受	jiē shòu	to accept, to receive,
4	822	节约	jié yuē	to economize, to conserve (resources), economy, frugal,
4	823	结果	jié guǒ	outcome, result, conclusion, in the end, as a result, to kill, to dispatch,
4	824	解释	jiě shì	explanation, to explain, to interpret, to resolve, CL:個|个[gè],
4	825	紧张	jǐn zhāng	nervous, keyed up, intense, tense, strained, in short supply, scarce, CL:陣|阵[zhèn],
4	826	尽管	jǐn guǎn	despite, although, even though, in spite of, unhesitatingly, do not hesitate (to ask, complain etc), (go ahead and do it) without hesitating,
4	827	进行	jìn xíng	to advance, to conduct, underway, in progress, to do, to carry out, to carry on, to execute,
4	828	禁止	jìn zhǐ	to prohibit, to forbid, to ban,
4	829	精彩	jīng cǎi	brilliant, splendid,
4	830	精神	jīng shén	spirit, mind, consciousness, thought, mental, psychological, essence, gist, CL:個|个[gè],
4	831	经济	jīng jì	economy, economic,
4	832	经历	jīng lì	experience, CL:個|个,次[cì], to experience, to go through,
4	833	经验	jīng yàn	to experience, experience,
4	834	京剧	Jīng jù	Beijing opera, CL:場|场,出[chū],
4	835	警察	jǐng chá	police, policeman, policewoman, CL:個|个[gè],
4	836	竟然	jìng rán	unexpectedly, to one's surprise, in spite of everything, in that crazy way, actually, to go as far as to,
4	837	竞争	jìng zhēng	to compete, competition,
4	838	镜子	jìng zi	mirror, CL:面,個|个[gè],
4	839	究竟	jiū jìng	after all (when all is said and done), actually, outcome, result,
4	840	举办	jǔ bàn	to conduct, to hold,
4	841	拒绝	jù jué	to refuse, to decline, to reject,
4	842	距离	jù lí	distance, to be apart, CL:個|个[gè],
4	843	开玩笑	kāi wán xiào	to play a joke, to make fun of, to joke,
4	844	看法	kàn fǎ	way of looking at a thing, view, opinion, CL:個|个[gè],
4	845	考虑	kǎo lǜ	to think over, to consider, consideration,
4	846	棵	kē	classifier for trees, cabbages, plants etc,
4	847	科学	kē xué	science, scientific knowledge, scientific, CL:門|门,個|个,種|种[zhǒng],
4	848	咳嗽	ké sou	to cough, CL:陣|阵[zhèn],
4	849	可怜	kě lián	pitiful, pathetic, to have pity on,
4	850	可是	kě shì	but, however,
4	851	可惜	kě xī	it is a pity, what a pity, unfortunately,
4	852	肯定	kěn dìng	to be sure, to be certain, sure, certain, definite, to confirm, to affirm, affirmative, to approve, approval, recognition,
4	853	空气	kōng qì	air, atmosphere,
4	854	恐怕	kǒng pà	fear, to dread, I'm afraid that..., perhaps, maybe,
4	855	苦	kǔ	bitter, hardship, pain, to suffer, to bring suffering to, painstakingly,
4	856	宽	kuān	lenient, wide, broad,
4	857	困	kùn	sleepy, tired,
4	858	困难	kùn nan	difficult, challenging, straitened circumstances, difficult situation,
4	859	扩大	kuò dà	to expand, to enlarge, to broaden one's scope,
4	860	拉	lā	to pull, to play (a bowed instrument), to drag, to draw, to chat,
4	861	垃圾桶	lā jī tǒng	rubbish bin, Taiwan pr. [lè sè tǒng],
4	862	辣	là	hot (spicy), pungent,
4	863	来不及	lái bu jí	there's not enough time (to do sth), it's too late (to do sth),
4	864	来得及	lái de jí	there's still time, able to do sth in time,
4	865	懒	lǎn	lazy,
4	866	浪费	làng fèi	to waste, to squander,
4	867	浪漫	làng màn	romantic,
4	868	老虎	lǎo hǔ	tiger, CL:隻|只[zhī],
4	869	冷静	lěng jìng	calm, cool-headed,
4	870	礼貌	lǐ mào	courtesy, manners,
4	871	理发	lǐ fà	a barber, hairdressing,
4	872	理解	lǐ jiě	to comprehend, to understand, comprehension, understanding,
4	873	理想	lǐ xiǎng	a dream, an ideal, perfection, ideal, perfect, desirable, CL:個|个[gè],
4	874	厉害	lì hai	difficult to deal with, difficult to endure, ferocious, radical, serious, terrible, violent, tremendous, awesome,
4	875	力气	lì qi	strength, CL:把[bǎ],
4	876	例如	lì rú	for example, for instance, such as,
4	877	俩	liǎ	two (colloquial equivalent of 兩個|两个), both, some,
4	878	连	lián	to link, to join, to connect, continuously, in succession, including, (used with 也, 都 etc) even, company (military),
4	879	联系	lián xì	connection, contact, relation, to get in touch with, to integrate, to link, to touch,
4	880	凉快	liáng kuai	nice and cold, pleasantly cool,
4	881	亮	liàng	bright, clear, resonant, to shine, to show, to reveal,
4	882	聊天	liáo tiān	to chat, to gossip,
4	883	另外	lìng wài	additional, in addition, besides, separate, other, moreover, furthermore,
4	884	留	liú	to leave (a message etc), to retain, to stay, to remain, to keep, to preserve,
4	885	留学	liú xué	to study abroad,
4	886	流泪	liú lèi	to shed tears,
4	887	流利	liú lì	fluent,
4	888	流行	liú xíng	to spread, to rage (of contagious disease), popular, fashionable, prevalent, (math.) manifold,
4	889	乱	luàn	in confusion or disorder, in a confused state of mind, disorder, upheaval, riot, illicit sexual relations, to throw into disorder, to mix up, indiscriminate, random, arbitrary,
4	890	律师	lǜ shī	lawyer,
4	891	麻烦	má fan	inconvenient, troublesome, annoying, to trouble or bother sb, to put sb to trouble,
4	892	马虎	mǎ hu	careless, sloppy, negligent, skimpy,
4	893	满	mǎn	full, filled, packed, fully, completely, quite, to reach the limit, to satisfy, satisfied, contented, to fill, abbr. for Manchurian,
4	894	毛巾	máo jīn	towel, CL:條|条[tiáo],
4	895	美丽	měi lì	beautiful,
4	896	梦	mèng	dream, CL:場|场,個|个[gè],
4	897	密码	mì mǎ	code, secret code, password, pin number,
4	898	免费	miǎn fèi	free (of charge),
4	899	民族	mín zú	nationality, ethnic group, CL:個|个[gè],
4	900	母亲	mǔ qīn	mother, also pr. with light tone [mǔ qin], CL:個|个[gè],
4	901	目的	mù dì	purpose, aim, goal, target, objective, CL:個|个[gè],
4	902	耐心	nài xīn	to be patient, patience,
4	903	难道	nán dào	don't tell me ..., could it be that...?,
4	904	难受	nán shòu	to feel unwell, to suffer pain, to be difficult to bear,
4	905	内	nèi	inside, inner, internal, within, interior,
4	906	内容	nèi róng	content, substance, details, CL:個|个,項|项[xiàng],
4	907	能力	néng lì	capability, capable, able, ability, CL:個|个[gè],
4	908	年龄	nián líng	(a person's) age, CL:把,個|个[gè],
4	909	农村	nóng cūn	rural area, village, CL:個|个[gè],
4	910	弄	nòng	to do, to manage, to handle, to play with, to fool with, to mess with, to fix, to toy with,
4	911	暖和	nuǎn huo	warm, nice and warm,
4	912	偶尔	ǒu ěr	occasionally, once in a while, sometimes,
4	913	排列	pái liè	array, arrangement, permutation (i.e. ordered choice of n elements out of m),
4	914	判断	pàn duàn	to decide, to determine, CL:個|个[gè],
4	915	陪	péi	to accompany, to keep sb company, to assist, old variant of 賠|赔[péi],
4	916	批评	pī píng	to criticize, criticism, CL:個|个[gè],
4	917	皮肤	pí fū	skin, CL:層|层,塊|块[kuài],
4	918	脾气	pí qi	character, temperament, disposition, bad temper, CL:個|个[gè],
4	919	篇	piān	sheet, piece of writing, bound set of bamboo slips used for record keeping (old), classifier for written items: chapter, article,
4	920	骗	piàn	to cheat, to swindle, to deceive, to fool, to hoodwink, to trick,
4	921	乒乓球	pīng pāng qiú	table tennis, ping-pong, ping pong, table tennis ball, CL:個|个[gè],
4	922	平时	píng shí	ordinarily, in normal times, in peacetime,
4	923	瓶子	píng zi	bottle, CL:個|个[gè],
4	924	破	pò	broken, damaged, worn out, to break, split or cleave, to get rid of, to destroy, to break with, to defeat, to capture (a city etc), to expose the truth of,
4	925	普遍	pǔ biàn	universal, general, widespread, common,
4	926	其次	qí cì	next, secondly,
4	927	其中	qí zhōng	among, in, included among these,
4	928	起飞	qǐ fēi	to take off (in an airplane),
4	929	起来	qi lai	(after a verb, indicates beginning or completeness),
4	930	气候	qì hòu	climate, atmosphere, situation, CL:種|种[zhǒng],
4	931	千万	qiān wàn	ten million, countless, many, one must by all means,
4	932	签证	qiān zhèng	visa, certificate, to certify, CL:個|个[gè],
4	933	墙	qiáng	wall, CL:面,堵[dǔ],
4	934	敲	qiāo	to hit, to strike, to tap, to rap, to knock, to rip sb off, to overcharge,
4	935	桥	qiáo	bridge, CL:座[zuò],
4	936	巧克力	qiǎo kè lì	chocolate (loanword), CL:塊|块[kuài],
4	937	亲戚	qīn qi	a relative (i.e. family relation), CL:門|门,個|个,位[wèi],
4	938	轻	qīng	light, easy, gentle, soft, reckless, unimportant, frivolous, small in number, unstressed, neutral, to disparage,
4	939	轻松	qīng sōng	gentle, relaxed,
4	940	情况	qíng kuàng	circumstances, state of affairs, situation, CL:個|个,種|种[zhǒng],
4	941	请假	qǐng jià	to request leave of absence,
4	942	请客	qǐng kè	to give a dinner party, to entertain guests, to invite to dinner,
4	943	穷	qióng	exhausted, poor,
4	944	区别	qū bié	difference, to distinguish, to discriminate, to make a distinction, CL:個|个[gè],
4	945	取	qǔ	to take, to get, to choose, to fetch,
4	946	全部	quán bù	whole, entire, complete,
4	947	缺点	quē diǎn	weak point, fault, shortcoming, CL:個|个[gè],
4	948	缺少	quē shǎo	lack, shortage of, shortfall, to be short (of), to lack,
4	949	却	què	but, yet, however, while, to go back, to decline, to retreat, nevertheless, even though,
4	950	确实	què shí	indeed, really, reliable, real, true,
4	951	群	qún	group, crowd, flock, herd, pack etc,
4	952	然而	rán ér	however, yet, but,
4	953	热闹	rè nao	bustling with noise and excitement, lively,
4	954	人民币	rén mín bì	Renminbi (RMB), Chinese Yuan (CNY),
4	955	任何	rèn hé	any, whatever, whichever, whatsoever,
4	956	任务	rèn wu	mission, assignment, task, duty, role, CL:項|项,個|个[gè],
4	957	扔	rēng	to throw, to throw away,
4	958	仍然	réng rán	still, yet,
4	959	日记	rì jì	diary, CL:則|则,本,篇[piān],
4	960	入口	rù kǒu	entrance,
4	961	软	ruǎn	soft, flexible,
4	962	散步	sàn bù	to take a walk, to go for a walk,
4	963	森林	sēn lín	forest, CL:片[piàn],
4	964	沙发	shā fā	sofa, CL:條|条,張|张[zhāng],
4	965	商量	shāng liang	to consult, to talk over, to discuss,
4	966	伤心	shāng xīn	to grieve, to be broken-hearted, to feel deeply hurt,
4	967	稍微	shāo wēi	a little bit,
4	968	社会	shè huì	society, CL:個|个[gè],
4	969	深	shēn	close, deep, late, profound, dark (of color, water etc),
4	970	申请	shēn qǐng	to apply for sth, application (form etc), CL:份[fèn],
4	971	甚至	shèn zhì	even, so much so that,
4	972	生活	shēng huó	life, activity, to live, livelihood,
4	973	生命	shēng mìng	life, living, biological, CL:個|个[gè],
4	974	省	shěng	to save, to economize, to do without, to omit, to leave out, province, CL:個|个[gè],
4	975	剩	shèng	to remain, to be left, to have as remainder,
4	976	失败	shī bài	to be defeated, to lose, to fail (e.g. experiments), failure, defeat, CL:次[cì],
4	977	失望	shī wàng	disappointed, to lose hope, to despair,
4	978	师傅	shī fu	master, qualified worker, respectful form of address for older men, CL:個|个,位,名[míng],
4	979	湿润	shī rùn	moist,
4	980	狮子	shī zi	lion, CL:隻|只,頭|头[tóu], Leo (star sign),
4	981	十分	shí fēn	to divide into ten equal parts, very, hundred percent, completely, extremely, utterly, absolutely,
4	982	实际	shí jì	actual, reality, practice,
4	983	实在	shí zài	really, actually, indeed, true, real, honest, dependable, (philosophy) reality,
4	984	食品	shí pǐn	foodstuff, food, provisions, CL:種|种[zhǒng],
4	985	使用	shǐ yòng	to use, to employ, to apply, to make use of,
4	986	试	shì	to test, to try, experiment, examination, test,
4	987	市场	shì chǎng	marketplace, market (also in abstract),
4	988	世纪	shì jì	century, CL:個|个[gè],
4	989	适合	shì hé	to fit, to suit,
4	990	适应	shì yìng	to adapt, to fit, to suit,
4	991	收	shōu	to receive, to accept, to collect, in care of (used on address line after name),
4	992	收入	shōu rù	to take in, income, revenue, CL:筆|笔,個|个[gè],
4	993	收拾	shōu shi	to put in order, to tidy up, to pack, to repair, to punish (colloquial), to manage,
4	994	首都	shǒu dū	capital (city), CL:個|个[gè],
4	995	首先	shǒu xiān	first (of all), in the first place,
4	996	受不了	shòu bù liǎo	unbearable, unable to endure, can't stand,
4	997	受到	shòu dào	to receive, to suffer, obtained, given,
4	998	售货员	shòu huò yuán	salesperson, CL:個|个[gè],
4	999	输	shū	to lose, to transport, to donate, to enter (a password),
4	1000	熟悉	shú xī	to be familiar with, to know well,
4	1001	数量	shù liàng	amount, quantity, CL:個|个[gè], quantitative,
4	1002	数字	shù zì	numeral, digit, number, figure, amount, digital (electronics etc), CL:個|个[gè],
4	1003	帅	shuài	handsome, graceful, smart, commander in chief,
4	1004	顺便	shùn biàn	conveniently, in passing, without much extra effort,
4	1005	顺利	shùn lì	smoothly, without a hitch,
4	1006	顺序	shùn xù	sequence, order,
4	1007	说明	shuō míng	to explain, to illustrate, to indicate, to show, to prove, explanation, directions, caption, CL:個|个[gè],
4	1008	硕士	shuò shì	master's degree, learned person,
4	1009	死	sǐ	to die, impassable, uncrossable, inflexible, rigid, extremely,
4	1010	速度	sù dù	speed, rate, velocity, CL:個|个[gè],
4	1011	塑料袋	sù liào dài	plastic bag,
4	1012	酸	suān	sour, sore, ache, acid,
4	1013	算	suàn	to regard as, to figure, to calculate, to compute,
4	1014	随便	suí biàn	as one wishes, as one pleases, at random, negligent, casual, wanton,
4	1015	随着	suí zhe	along with, in the wake of, following,
4	1016	孙子	sūn zi	grandson, son's son,
4	1017	所有	suǒ yǒu	all, to have, to possess, to own,
4	1018	抬	tái	to lift, to raise, (of two or more persons) to carry,
4	1019	台	tái	typhoon,
4	1020	态度	tài du	manner, bearing, attitude, approach, CL:個|个[gè],
4	1021	谈	tán	to speak, to talk, to converse, to chat, to discuss,
4	1022	弹	tán	to pluck (a string), to play (a string instrument), to spring or leap, to shoot (e.g. with a catapult), (of cotton) to fluff or tease, to flick, to flip, to accuse, to impeach, elastic (of materials),
4	1023	汤	tāng	soup, hot or boiling water, decoction of medicinal herbs, water in which sth has been boiled,
4	1024	躺	tǎng	to recline, to lie down,
4	1025	趟	tàng	classifier for times, round trips or rows, a time, a trip,
4	1026	讨论	tǎo lùn	to discuss, to talk over, CL:個|个[gè],
4	1027	讨厌	tǎo yàn	to dislike, to loathe, disagreeable, troublesome, annoying,
4	1028	特点	tè diǎn	characteristic (feature), trait, feature, CL:個|个[gè],
4	1029	提供	tí gōng	to offer, to supply, to provide, to furnish,
4	1030	提前	tí qián	to shift to an earlier date, to do sth ahead of time, in advance,
4	1031	提醒	tí xǐng	to remind, to call attention to, to warn of,
4	1032	填空	tián kòng	to fill a job vacancy, to fill in a blank (e.g. on questionnaire or exam paper),
4	1033	条件	tiáo jiàn	condition, circumstances, term, factor, requirement, prerequisite, qualification, CL:個|个[gè],
4	1034	停止	tíng zhǐ	to stop, to halt, to cease,
4	1035	挺	tǐng	to stick out, to (physically) straighten up, to endure or hold out, straight, stiff, outstanding, extraordinary, rather, quite, very, classifier for machine guns,
4	1036	通过	tōng guò	by means of, through, via, to pass through, to get through, to adopt, to pass (a bill or inspection etc), to switch over,
4	1037	通知	tōng zhī	to notify, to inform, notice, notification, CL:個|个[gè],
4	1038	同情	tóng qíng	to sympathize with, sympathy,
4	1039	推	tuī	to push, to cut, to refuse, to reject, to decline, to shirk (responsibility), to put off, to delay, to push forward, to nominate, to elect,
4	1040	推迟	tuī chí	to postpone, to put off, to defer,
4	1041	脱	tuō	to shed, to take off, to escape, to get away from,
4	1042	袜子	wà zi	socks, stockings, CL:隻|只,對|对,雙|双[shuāng],
4	1043	完全	wán quán	complete, whole, totally, entirely,
4	1044	往	wǎng	to go (in a direction), to, towards, (of a train) bound for, past, previous,
4	1045	往往	wǎng wǎng	often, frequently,
4	1046	网球	wǎng qiú	tennis, CL:個|个[gè],
4	1047	网站	wǎng zhàn	website, network station, node,
4	1048	危险	wēi xiǎn	danger, dangerous,
4	1049	味道	wèi dao	flavor, smell, hint of,
4	1050	温度	wēn dù	temperature, CL:個|个[gè],
4	1051	文章	wén zhāng	article, essay, literary works, writings, hidden meaning, CL:篇,段,頁|页[yè],
4	1052	握手	wò shǒu	to shake hands,
4	1053	污染	wū rǎn	pollution, contamination, CL:個|个[gè],
4	1054	无	wú	-less, not to have, no, none, not, to lack, un-,
4	1055	无聊	wú liáo	bored, boring, senseless,
4	1056	无论	wú lùn	no matter what or how, regardless of whether...,
4	1057	误会	wù huì	to misunderstand, to mistake, misunderstanding, CL:個|个[gè],
4	1058	西红柿	xī hóng shì	tomato, CL:隻|只[zhī],
4	1059	吸引	xī yǐn	to attract (interest, investment etc), CL:個|个[gè],
4	1060	洗衣机	xǐ yī jī	washer, washing machine, CL:臺|台[tái],
4	1061	咸	xián	salted, salty, stingy, miserly,
4	1062	现代	xiàn dài	modern times, modern age, modern era,
4	1063	羡慕	xiàn mù	to envy, to admire,
4	1064	限制	xiàn zhì	to restrict, to limit, to confine, restriction, limit, CL:個|个[gè],
4	1065	香	xiāng	fragrant, sweet smelling, aromatic, savory or appetizing, (to eat) with relish, (of sleep) sound, perfume or spice, joss or incense stick, CL:根[gēn],
4	1066	相反	xiāng fǎn	opposite, contrary,
4	1067	详细	xiáng xì	detailed, in detail, minute,
4	1068	响	xiǎng	echo, sound, noise, to make a sound, to sound, to ring, loud, classifier for noises,
4	1069	消息	xiāo xi	news, information, CL:條|条[tiáo],
4	1070	小说	xiǎo shuō	novel, fiction, CL:本,部[bù],
4	1071	笑话	xiào huà	joke, jest, CL:個|个[gè], to laugh at, to mock,
4	1072	效果	xiào guǒ	result, effect, quality, CL:個|个[gè],
4	1073	心情	xīn qíng	mood, frame of mind, CL:個|个[gè],
4	1074	辛苦	xīn kǔ	hard, exhausting, with much toil, thanks for your trouble,
4	1075	信任	xìn rèn	to trust, to have confidence in,
4	1076	信心	xìn xīn	confidence, faith (in sb or sth), CL:個|个[gè],
4	1077	信用卡	xìn yòng kǎ	credit card,
4	1078	兴奋	xīng fèn	excited, excitement,
4	1079	行	xíng	to walk, to go, to travel, a visit, temporary, makeshift, current, in circulation, to do, to perform, capable, competent, effective, all right, OK!, will do,
4	1080	醒	xǐng	to wake up, to awaken, to be awake,
4	1081	性别	xìng bié	gender, sex, distinguishing between the sexes,
4	1082	性格	xìng gé	nature, disposition, temperament, character, CL:個|个[gè],
4	1083	幸福	xìng fú	happiness, happy, blessed,
4	1084	修	xiū	to decorate, to embellish, to repair, to build, to study, to write, to cultivate,
4	1085	许多	xǔ duō	many, a lot of, much,
4	1086	血	xuè	blood, informal colloquial and Taiwan pr. [xiě], also pr. [xuě], CL:滴,片[piàn],
4	1087	压力	yā lì	pressure,
4	1088	牙膏	yá gāo	toothpaste, CL:管[guǎn],
4	1089	亚洲	Yà zhōu	Asia, Asian,
4	1090	呀	ya	(particle equivalent to 啊 after a vowel, expressing surprise or doubt),
4	1091	盐	yán	salt, CL:粒[lì],
4	1092	严格	yán gé	strict, stringent, tight, rigorous,
4	1093	严重	yán zhòng	grave, serious, severe, critical,
4	1094	研究生	yán jiū shēng	graduate student, postgraduate student, research student,
4	1095	演出	yǎn chū	to act (in a play), to perform, to put on (a performance), performance, concert, show, CL:場|场,次[cì],
4	1096	演员	yǎn yuán	actor or actress, performer, CL:個|个,位,名[míng],
4	1097	阳光	yáng guāng	sunshine, CL:線|线[xiàn],
4	1098	养成	yǎng chéng	to cultivate, to raise, to form (a habit), to acquire,
4	1099	样子	yàng zi	appearance, manner, pattern, model,
4	1100	邀请	yāo qǐng	to invite, invitation, CL:個|个[gè],
4	1101	钥匙	yào shi	key, CL:把[bǎ],
4	1102	也许	yě xǔ	perhaps, maybe,
4	1103	页	yè	page, leaf,
4	1104	叶子	yè zi	foliage, leaf, CL:片[piàn],
4	1105	一切	yī qiè	everything, every, all,
4	1106	以	yǐ	to use, according to, so as to, by means of, in order to, by, with, because,
4	1107	亿	yì	100 million,
4	1108	意见	yì jiàn	idea, opinion, suggestion, objection, complaint, CL:點|点,條|条[tiáo],
4	1109	艺术	yì shù	art,
4	1110	因此	yīn cǐ	thus, consequently, as a result,
4	1111	引起	yǐn qǐ	to give rise to, to lead to, to cause, to arouse,
4	1112	饮料	yǐn liào	drink, beverage,
4	1113	印象	yìn xiàng	impression,
4	1114	赢	yíng	to beat, to win, to profit,
4	1115	硬	yìng	hard, stiff, strong, firm, resolutely, doggedly, good (quality), able (person),
4	1116	勇敢	yǒng gǎn	brave, courageous,
4	1117	永远	yǒng yuǎn	forever, eternal,
4	1118	优点	yōu diǎn	merit, benefit, strong point, advantage, CL:個|个[gè],
4	1119	优秀	yōu xiù	outstanding, excellent,
4	1120	幽默	yōu mò	(loanword) humor, humorous,
4	1121	由	yóu	to follow, from, it is for...to, reason, cause, because of, due to, to, to leave it (to sb), by (introduces passive verb),
4	1122	由于	yóu yú	due to, as a result of, thanks to, owing to, since, because,
4	1123	尤其	yóu qí	especially, particularly,
4	1124	有趣	yǒu qù	interesting, fascinating, amusing,
4	1125	友好	yǒu hǎo	friendly, amicable, close friend,
4	1126	友谊	yǒu yì	companionship, fellowship, friendship,
4	1127	愉快	yú kuài	cheerful, cheerily, delightful, pleasant, pleasantly, pleasing, happy, delighted,
4	1128	于是	yú shì	thereupon, as a result, consequently, thus, hence,
4	1129	与	yǔ	and, to give, together with,
4	1130	语法	yǔ fǎ	grammar,
4	1131	语言	yǔ yán	language, CL:門|门,種|种[zhǒng],
4	1132	羽毛球	yǔ máo qiú	shuttlecock, badminton, CL:個|个[gè],
4	1133	预习	yù xí	to prepare a lesson,
